/SYS
//SAVE DATE   : 2014/10/07 19:28
//SYSTEM No   : 10X[E]-00
//REVISION No :  4.21, 4.21, 4.21, 4.20, 1.0, 1.0, 1.0, 1.0, 4.20, 4.20, 4.20,,, 1.80X,,,,
//ROBOT NAME  : MOTOMAN-K10S
//CONTROL POWER HOURS : 1990/07/23 00:23,00058:53'48
//SERVO MOTOR HOUR    : 1990/07/23 00:23,00026:12'13
//PLAYBACK HOURS      : 1990/07/23 00:23,00000:40'49
//TOOL HOURS          : 1990/07/23 00:23,00000:00'00
//TRAVERS TIME        : 1990/07/23 00:23,04004.740
//ALARM1(UNRESETABLE ALM)
1,0253,00000010,126,5,4,2014/09/23 20:18
2,0242,00000001,ARLO,23,20,2014/09/21 18:37
3,0853,00000010,BABY,3,2,2014/09/16 21:08
4,0213,00000010,BABY,3,2,2014/09/16 21:08
5,0253,00000010,BABY,3,2,2014/09/16 21:07
6,0253,00000010,BABY,2,2,2014/09/13 22:52
7,0213,00000010,BABY,2,2,2014/09/13 22:52
8,0853,00000010,BABY,2,2,2014/09/13 22:52
9,0253,00000010,BABY,2,2,2014/09/13 22:50
10,0253,00000010,126,5,4,2014/09/23 20:19
//ALARM2
1,1130,00000001,ARLO,23,20,2014/09/21 18:39
2,1130,00000001,ARLO,23,20,2014/09/21 18:37
3,1331,,ARLO,8,8,2014/09/20 22:10
4,1740,,ARLO,2,2,2014/09/20 22:07
5,1740,,ARLO,3,3,2014/09/20 22:05
6,1740,,ARLO,3,3,2014/09/20 22:05
7,1130,00001000,MAT,1,1,2014/10/07 18:47
8,1290,00110111,K0,3,1,2014/10/04 22:38
9,1290,00010000,K0,3,1,2014/10/02 01:03
10,1290,00010000,K0,3,1,2014/10/02 01:01
//USER ALARM
